"time","ex1.b1.v","ex1.b1.vr","ex1.b2.v","ex1.b2.vr","ex1.b3.v","ex1.b3.vr","ex1.gnd.p.i","ex1.gnd.p.v","ex1.r_load.i","ex1.r_load.percentage","ex1.r_load.r_int","ex1.r_load.v","ex1.s1.i","ex1.s1.r_int","ex1.s1.v","ex1.s2.i","ex1.s2.r_int","ex1.s2.v","ex1.s3.i","ex1.s3.r_int","ex1.s3.v","ex1.b1.state","ex1.b2.state","ex1.b3.state","ex1.r_load.state","ex1.s1.mode","ex1.s1.state","ex1.s2.mode","ex1.s2.state","ex1.s3.mode","ex1.s3.state","ex1.b1.i","ex1.b1.m.i","ex1.b1.m.v","ex1.b1.p.i","ex1.b1.p.v","ex1.b2.i","ex1.b2.m.i","ex1.b2.m.v","ex1.b2.p.i","ex1.b2.p.v","ex1.b3.i","ex1.b3.m.i","ex1.b3.m.v","ex1.b3.p.i","ex1.b3.p.v","ex1.r_load.m.i","ex1.r_load.m.v","ex1.r_load.p.i","ex1.r_load.p.v","ex1.s1.m.i","ex1.s1.m.v","ex1.s1.p.i","ex1.s1.p.v","ex1.s2.m.i","ex1.s2.m.v","ex1.s2.p.i","ex1.s2.p.v","ex1.s3.m.i","ex1.s3.m.v","ex1.s3.p.i","ex1.s3.p.v"
0.0722120353392232,24.99999992788462,-7.211538395051778e-08,10.57692313822337,-4.423076861776627,10.57692313772337,0.5769231377233712,8.592330341088449e-18,0,0.3846153868284024,55,27.5,10.57692313778106,1.442307679010355e-08,1000000000,14.42307679010355,0.4423076861776627,1e-09,4.423076861776627e-10,-0.05769231377233713,1e-09,-5.769231377233713e-11,1,1,1,1,1,1,2,1,2,1,-1.442307679010355e-08,1.442307679010355e-08,-10.57692313778106,-1.442307679010355e-08,14.42307679010355,-0.4423076861776627,0.4423076861776627,-10.57692313778106,-0.4423076861776627,4.423076861776627e-10,0.05769231377233713,-0.05769231377233713,-10.57692313778106,0.05769231377233713,-5.769231377233713e-11,-0.3846153868284024,-10.57692313778106,0.3846153868284024,0,-1.442307679010355e-08,0,1.442307679010355e-08,14.42307679010355,-0.4423076861776627,0,0.4423076861776627,4.423076861776627e-10,0.05769231377233713,0,-0.05769231377233713,-5.769231377233713e-11
0.07231205200866811,24.99999992788462,-7.211538395051776e-08,10.57692313822337,-4.423076861776628,10.57692313772337,0.5769231377233723,1.553122259063445e-17,0,0.3846153868284023,55,27.5,10.57692313778107,1.442307679010355e-08,1000000000,14.42307679010355,0.4423076861776628,1e-09,4.423076861776628e-10,-0.05769231377233723,1e-09,-5.769231377233723e-11,1,1,1,1,1,1,2,1,2,1,-1.442307679010355e-08,1.442307679010355e-08,-10.57692313778107,-1.442307679010355e-08,14.42307679010355,-0.4423076861776628,0.4423076861776628,-10.57692313778107,-0.4423076861776628,4.423076861776628e-10,0.05769231377233723,-0.05769231377233723,-10.57692313778107,0.05769231377233723,-5.769231377233723e-11,-0.3846153868284023,-10.57692313778107,0.3846153868284023,0,-1.442307679010355e-08,0,1.442307679010355e-08,14.42307679010355,-0.4423076861776628,0,0.4423076861776628,4.423076861776628e-10,0.05769231377233723,0,-0.05769231377233723,-5.769231377233723e-11
0.07241206867811302,24.99999992788462,-7.211538395051778e-08,10.57692313822337,-4.423076861776627,10.57692313772337,0.5769231377233712,8.592330341088449e-18,0,0.3846153868284024,55,27.5,10.57692313778106,1.442307679010355e-08,1000000000,14.42307679010355,0.4423076861776627,1e-09,4.423076861776627e-10,-0.05769231377233713,1e-09,-5.769231377233713e-11,1,1,1,1,1,1,2,1,2,1,-1.442307679010355e-08,1.442307679010355e-08,-10.57692313778106,-1.442307679010355e-08,14.42307679010355,-0.4423076861776627,0.4423076861776627,-10.57692313778106,-0.4423076861776627,4.423076861776627e-10,0.05769231377233713,-0.05769231377233713,-10.57692313778106,0.05769231377233713,-5.769231377233713e-11,-0.3846153868284024,-10.57692313778106,0.3846153868284024,0,-1.442307679010355e-08,0,1.442307679010355e-08,14.42307679010355,-0.4423076861776627,0,0.4423076861776627,4.423076861776627e-10,0.05769231377233713,0,-0.05769231377233713,-5.769231377233713e-11
0.07251208534755793,24.99999992788462,-7.211538395051776e-08,10.57692313822337,-4.423076861776628,10.57692313772337,0.5769231377233723,1.553122259063445e-17,0,0.3846153868284023,55,27.5,10.57692313778107,1.442307679010355e-08,1000000000,14.42307679010355,0.4423076861776628,1e-09,4.423076861776628e-10,-0.05769231377233723,1e-09,-5.769231377233723e-11,1,1,1,1,1,1,2,1,2,1,-1.442307679010355e-08,1.442307679010355e-08,-10.57692313778107,-1.442307679010355e-08,14.42307679010355,-0.4423076861776628,0.4423076861776628,-10.57692313778107,-0.4423076861776628,4.423076861776628e-10,0.05769231377233723,-0.05769231377233723,-10.57692313778107,0.05769231377233723,-5.769231377233723e-11,-0.3846153868284023,-10.57692313778107,0.3846153868284023,0,-1.442307679010355e-08,0,1.442307679010355e-08,14.42307679010355,-0.4423076861776628,0,0.4423076861776628,4.423076861776628e-10,0.05769231377233723,0,-0.05769231377233723,-5.769231377233723e-11
0.07261210201700283,24.99999992788462,-7.211538395051778e-08,10.57692313822337,-4.423076861776627,10.57692313772337,0.5769231377233712,8.592330341088449e-18,0,0.3846153868284024,55,27.5,10.57692313778106,1.442307679010355e-08,1000000000,14.42307679010355,0.4423076861776627,1e-09,4.423076861776627e-10,-0.05769231377233713,1e-09,-5.769231377233713e-11,1,1,1,1,1,1,2,1,2,1,-1.442307679010355e-08,1.442307679010355e-08,-10.57692313778106,-1.442307679010355e-08,14.42307679010355,-0.4423076861776627,0.4423076861776627,-10.57692313778106,-0.4423076861776627,4.423076861776627e-10,0.05769231377233713,-0.05769231377233713,-10.57692313778106,0.05769231377233713,-5.769231377233713e-11,-0.3846153868284024,-10.57692313778106,0.3846153868284024,0,-1.442307679010355e-08,0,1.442307679010355e-08,14.42307679010355,-0.4423076861776627,0,0.4423076861776627,4.423076861776627e-10,0.05769231377233713,0,-0.05769231377233713,-5.769231377233713e-11
0.07271211868644774,24.99999992788462,-7.211538395051776e-08,10.57692313822337,-4.423076861776628,10.57692313772337,0.5769231377233723,1.553122259063445e-17,0,0.3846153868284023,55,27.5,10.57692313778107,1.442307679010355e-08,1000000000,14.42307679010355,0.4423076861776628,1e-09,4.423076861776628e-10,-0.05769231377233723,1e-09,-5.769231377233723e-11,1,1,1,1,1,1,2,1,2,1,-1.442307679010355e-08,1.442307679010355e-08,-10.57692313778107,-1.442307679010355e-08,14.42307679010355,-0.4423076861776628,0.4423076861776628,-10.57692313778107,-0.4423076861776628,4.423076861776628e-10,0.05769231377233723,-0.05769231377233723,-10.57692313778107,0.05769231377233723,-5.769231377233723e-11,-0.3846153868284023,-10.57692313778107,0.3846153868284023,0,-1.442307679010355e-08,0,1.442307679010355e-08,14.42307679010355,-0.4423076861776628,0,0.4423076861776628,4.423076861776628e-10,0.05769231377233723,0,-0.05769231377233723,-5.769231377233723e-11
0.07281213535589265,24.99999992788462,-7.211538395051778e-08,10.57692313822337,-4.423076861776627,10.57692313772337,0.5769231377233712,8.592330341088449e-18,0,0.3846153868284024,55,27.5,10.57692313778106,1.442307679010355e-08,1000000000,14.42307679010355,0.4423076861776627,1e-09,4.423076861776627e-10,-0.05769231377233713,1e-09,-5.769231377233713e-11,1,1,1,1,1,1,2,1,2,1,-1.442307679010355e-08,1.442307679010355e-08,-10.57692313778106,-1.442307679010355e-08,14.42307679010355,-0.4423076861776627,0.4423076861776627,-10.57692313778106,-0.4423076861776627,4.423076861776627e-10,0.05769231377233713,-0.05769231377233713,-10.57692313778106,0.05769231377233713,-5.769231377233713e-11,-0.3846153868284024,-10.57692313778106,0.3846153868284024,0,-1.442307679010355e-08,0,1.442307679010355e-08,14.42307679010355,-0.4423076861776627,0,0.4423076861776627,4.423076861776627e-10,0.05769231377233713,0,-0.05769231377233713,-5.769231377233713e-11
0.07291215202533756,24.99999992788462,-7.211538395051776e-08,10.57692313822337,-4.423076861776628,10.57692313772337,0.5769231377233723,1.553122259063445e-17,0,0.3846153868284023,55,27.5,10.57692313778107,1.442307679010355e-08,1000000000,14.42307679010355,0.4423076861776628,1e-09,4.423076861776628e-10,-0.05769231377233723,1e-09,-5.769231377233723e-11,1,1,1,1,1,1,2,1,2,1,-1.442307679010355e-08,1.442307679010355e-08,-10.57692313778107,-1.442307679010355e-08,14.42307679010355,-0.4423076861776628,0.4423076861776628,-10.57692313778107,-0.4423076861776628,4.423076861776628e-10,0.05769231377233723,-0.05769231377233723,-10.57692313778107,0.05769231377233723,-5.769231377233723e-11,-0.3846153868284023,-10.57692313778107,0.3846153868284023,0,-1.442307679010355e-08,0,1.442307679010355e-08,14.42307679010355,-0.4423076861776628,0,0.4423076861776628,4.423076861776628e-10,0.05769231377233723,0,-0.05769231377233723,-5.769231377233723e-11
0.07301216869478247,24.99999992788462,-7.211538395051778e-08,10.57692313822337,-4.423076861776627,10.57692313772337,0.5769231377233712,8.592330341088449e-18,0,0.3846153868284024,55,27.5,10.57692313778106,1.442307679010355e-08,1000000000,14.42307679010355,0.4423076861776627,1e-09,4.423076861776627e-10,-0.05769231377233713,1e-09,-5.769231377233713e-11,1,1,1,1,1,1,2,1,2,1,-1.442307679010355e-08,1.442307679010355e-08,-10.57692313778106,-1.442307679010355e-08,14.42307679010355,-0.4423076861776627,0.4423076861776627,-10.57692313778106,-0.4423076861776627,4.423076861776627e-10,0.05769231377233713,-0.05769231377233713,-10.57692313778106,0.05769231377233713,-5.769231377233713e-11,-0.3846153868284024,-10.57692313778106,0.3846153868284024,0,-1.442307679010355e-08,0,1.442307679010355e-08,14.42307679010355,-0.4423076861776627,0,0.4423076861776627,4.423076861776627e-10,0.05769231377233713,0,-0.05769231377233713,-5.769231377233713e-11
0.07311218536422737,24.99999992788462,-7.211538395051776e-08,10.57692313822337,-4.423076861776628,10.57692313772337,0.5769231377233723,1.553122259063445e-17,0,0.3846153868284023,55,27.5,10.57692313778107,1.442307679010355e-08,1000000000,14.42307679010355,0.4423076861776628,1e-09,4.423076861776628e-10,-0.05769231377233723,1e-09,-5.769231377233723e-11,1,1,1,1,1,1,2,1,2,1,-1.442307679010355e-08,1.442307679010355e-08,-10.57692313778107,-1.442307679010355e-08,14.42307679010355,-0.4423076861776628,0.4423076861776628,-10.57692313778107,-0.4423076861776628,4.423076861776628e-10,0.05769231377233723,-0.05769231377233723,-10.57692313778107,0.05769231377233723,-5.769231377233723e-11,-0.3846153868284023,-10.57692313778107,0.3846153868284023,0,-1.442307679010355e-08,0,1.442307679010355e-08,14.42307679010355,-0.4423076861776628,0,0.4423076861776628,4.423076861776628e-10,0.05769231377233723,0,-0.05769231377233723,-5.769231377233723e-11
0.07321220203367228,24.99999992788462,-7.211538395051778e-08,10.57692313822337,-4.423076861776627,10.57692313772337,0.5769231377233712,8.592330341088449e-18,0,0.3846153868284024,55,27.5,10.57692313778106,1.442307679010355e-08,1000000000,14.42307679010355,0.4423076861776627,1e-09,4.423076861776627e-10,-0.05769231377233713,1e-09,-5.769231377233713e-11,1,1,1,1,1,1,2,1,2,1,-1.442307679010355e-08,1.442307679010355e-08,-10.57692313778106,-1.442307679010355e-08,14.42307679010355,-0.4423076861776627,0.4423076861776627,-10.57692313778106,-0.4423076861776627,4.423076861776627e-10,0.05769231377233713,-0.05769231377233713,-10.57692313778106,0.05769231377233713,-5.769231377233713e-11,-0.3846153868284024,-10.57692313778106,0.3846153868284024,0,-1.442307679010355e-08,0,1.442307679010355e-08,14.42307679010355,-0.4423076861776627,0,0.4423076861776627,4.423076861776627e-10,0.05769231377233713,0,-0.05769231377233713,-5.769231377233713e-11
0.07331221870311719,24.99999992788462,-7.211538395051776e-08,10.57692313822337,-4.423076861776628,10.57692313772337,0.5769231377233723,1.553122259063445e-17,0,0.3846153868284023,55,27.5,10.57692313778107,1.442307679010355e-08,1000000000,14.42307679010355,0.4423076861776628,1e-09,4.423076861776628e-10,-0.05769231377233723,1e-09,-5.769231377233723e-11,1,1,1,1,1,1,2,1,2,1,-1.442307679010355e-08,1.442307679010355e-08,-10.57692313778107,-1.442307679010355e-08,14.42307679010355,-0.4423076861776628,0.4423076861776628,-10.57692313778107,-0.4423076861776628,4.423076861776628e-10,0.05769231377233723,-0.05769231377233723,-10.57692313778107,0.05769231377233723,-5.769231377233723e-11,-0.3846153868284023,-10.57692313778107,0.3846153868284023,0,-1.442307679010355e-08,0,1.442307679010355e-08,14.42307679010355,-0.4423076861776628,0,0.4423076861776628,4.423076861776628e-10,0.05769231377233723,0,-0.05769231377233723,-5.769231377233723e-11
0.07341223537256208,24.99999992788462,-7.211538395051778e-08,10.57692313822337,-4.423076861776627,10.57692313772337,0.5769231377233712,8.592330341088449e-18,0,0.3846153868284024,55,27.5,10.57692313778106,1.442307679010355e-08,1000000000,14.42307679010355,0.4423076861776627,1e-09,4.423076861776627e-10,-0.05769231377233713,1e-09,-5.769231377233713e-11,1,1,1,1,1,1,2,1,2,1,-1.442307679010355e-08,1.442307679010355e-08,-10.57692313778106,-1.442307679010355e-08,14.42307679010355,-0.4423076861776627,0.4423076861776627,-10.57692313778106,-0.4423076861776627,4.423076861776627e-10,0.05769231377233713,-0.05769231377233713,-10.57692313778106,0.05769231377233713,-5.769231377233713e-11,-0.3846153868284024,-10.57692313778106,0.3846153868284024,0,-1.442307679010355e-08,0,1.442307679010355e-08,14.42307679010355,-0.4423076861776627,0,0.4423076861776627,4.423076861776627e-10,0.05769231377233713,0,-0.05769231377233713,-5.769231377233713e-11
0.073512252042007,24.99999992788462,-7.211538395051776e-08,10.57692313822337,-4.423076861776628,10.57692313772337,0.5769231377233723,1.553122259063445e-17,0,0.3846153868284023,55,27.5,10.57692313778107,1.442307679010355e-08,1000000000,14.42307679010355,0.4423076861776628,1e-09,4.423076861776628e-10,-0.05769231377233723,1e-09,-5.769231377233723e-11,1,1,1,1,1,1,2,1,2,1,-1.442307679010355e-08,1.442307679010355e-08,-10.57692313778107,-1.442307679010355e-08,14.42307679010355,-0.4423076861776628,0.4423076861776628,-10.57692313778107,-0.4423076861776628,4.423076861776628e-10,0.05769231377233723,-0.05769231377233723,-10.57692313778107,0.05769231377233723,-5.769231377233723e-11,-0.3846153868284023,-10.57692313778107,0.3846153868284023,0,-1.442307679010355e-08,0,1.442307679010355e-08,14.42307679010355,-0.4423076861776628,0,0.4423076861776628,4.423076861776628e-10,0.05769231377233723,0,-0.05769231377233723,-5.769231377233723e-11
0.07361226871145191,24.99999992788462,-7.211538395051778e-08,10.57692313822337,-4.423076861776627,10.57692313772337,0.5769231377233712,8.592330341088449e-18,0,0.3846153868284024,55,27.5,10.57692313778106,1.442307679010355e-08,1000000000,14.42307679010355,0.4423076861776627,1e-09,4.423076861776627e-10,-0.05769231377233713,1e-09,-5.769231377233713e-11,1,1,1,1,1,1,2,1,2,1,-1.442307679010355e-08,1.442307679010355e-08,-10.57692313778106,-1.442307679010355e-08,14.42307679010355,-0.4423076861776627,0.4423076861776627,-10.57692313778106,-0.4423076861776627,4.423076861776627e-10,0.05769231377233713,-0.05769231377233713,-10.57692313778106,0.05769231377233713,-5.769231377233713e-11,-0.3846153868284024,-10.57692313778106,0.3846153868284024,0,-1.442307679010355e-08,0,1.442307679010355e-08,14.42307679010355,-0.4423076861776627,0,0.4423076861776627,4.423076861776627e-10,0.05769231377233713,0,-0.05769231377233713,-5.769231377233713e-11
0.07371228538089682,24.99999992788462,-7.211538395051776e-08,10.57692313822337,-4.423076861776628,10.57692313772337,0.5769231377233723,1.553122259063445e-17,0,0.3846153868284023,55,27.5,10.57692313778107,1.442307679010355e-08,1000000000,14.42307679010355,0.4423076861776628,1e-09,4.423076861776628e-10,-0.05769231377233723,1e-09,-5.769231377233723e-11,1,1,1,1,1,1,2,1,2,1,-1.442307679010355e-08,1.442307679010355e-08,-10.57692313778107,-1.442307679010355e-08,14.42307679010355,-0.4423076861776628,0.4423076861776628,-10.57692313778107,-0.4423076861776628,4.423076861776628e-10,0.05769231377233723,-0.05769231377233723,-10.57692313778107,0.05769231377233723,-5.769231377233723e-11,-0.3846153868284023,-10.57692313778107,0.3846153868284023,0,-1.442307679010355e-08,0,1.442307679010355e-08,14.42307679010355,-0.4423076861776628,0,0.4423076861776628,4.423076861776628e-10,0.05769231377233723,0,-0.05769231377233723,-5.769231377233723e-11
0.07381230205034173,24.99999992788462,-7.211538395051778e-08,10.57692313822337,-4.423076861776627,10.57692313772337,0.5769231377233712,8.592330341088449e-18,0,0.3846153868284024,55,27.5,10.57692313778106,1.442307679010355e-08,1000000000,14.42307679010355,0.4423076861776627,1e-09,4.423076861776627e-10,-0.05769231377233713,1e-09,-5.769231377233713e-11,1,1,1,1,1,1,2,1,2,1,-1.442307679010355e-08,1.442307679010355e-08,-10.57692313778106,-1.442307679010355e-08,14.42307679010355,-0.4423076861776627,0.4423076861776627,-10.57692313778106,-0.4423076861776627,4.423076861776627e-10,0.05769231377233713,-0.05769231377233713,-10.57692313778106,0.05769231377233713,-5.769231377233713e-11,-0.3846153868284024,-10.57692313778106,0.3846153868284024,0,-1.442307679010355e-08,0,1.442307679010355e-08,14.42307679010355,-0.4423076861776627,0,0.4423076861776627,4.423076861776627e-10,0.05769231377233713,0,-0.05769231377233713,-5.769231377233713e-11
0.07391231871978662,24.99999992788462,-7.211538395051776e-08,10.57692313822337,-4.423076861776628,10.57692313772337,0.5769231377233723,1.553122259063445e-17,0,0.3846153868284023,55,27.5,10.57692313778107,1.442307679010355e-08,1000000000,14.42307679010355,0.4423076861776628,1e-09,4.423076861776628e-10,-0.05769231377233723,1e-09,-5.769231377233723e-11,1,1,1,1,1,1,2,1,2,1,-1.442307679010355e-08,1.442307679010355e-08,-10.57692313778107,-1.442307679010355e-08,14.42307679010355,-0.4423076861776628,0.4423076861776628,-10.57692313778107,-0.4423076861776628,4.423076861776628e-10,0.05769231377233723,-0.05769231377233723,-10.57692313778107,0.05769231377233723,-5.769231377233723e-11,-0.3846153868284023,-10.57692313778107,0.3846153868284023,0,-1.442307679010355e-08,0,1.442307679010355e-08,14.42307679010355,-0.4423076861776628,0,0.4423076861776628,4.423076861776628e-10,0.05769231377233723,0,-0.05769231377233723,-5.769231377233723e-11
0.07401233538923153,24.99999992788462,-7.211538395051778e-08,10.57692313822337,-4.423076861776627,10.57692313772337,0.5769231377233712,8.592330341088449e-18,0,0.3846153868284024,55,27.5,10.57692313778106,1.442307679010355e-08,1000000000,14.42307679010355,0.4423076861776627,1e-09,4.423076861776627e-10,-0.05769231377233713,1e-09,-5.769231377233713e-11,1,1,1,1,1,1,2,1,2,1,-1.442307679010355e-08,1.442307679010355e-08,-10.57692313778106,-1.442307679010355e-08,14.42307679010355,-0.4423076861776627,0.4423076861776627,-10.57692313778106,-0.4423076861776627,4.423076861776627e-10,0.05769231377233713,-0.05769231377233713,-10.57692313778106,0.05769231377233713,-5.769231377233713e-11,-0.3846153868284024,-10.57692313778106,0.3846153868284024,0,-1.442307679010355e-08,0,1.442307679010355e-08,14.42307679010355,-0.4423076861776627,0,0.4423076861776627,4.423076861776627e-10,0.05769231377233713,0,-0.05769231377233713,-5.769231377233713e-11
0.07411235205867645,24.99999992788462,-7.211538395051776e-08,10.57692313822337,-4.423076861776628,10.57692313772337,0.5769231377233723,1.553122259063445e-17,0,0.3846153868284023,55,27.5,10.57692313778107,1.442307679010355e-08,1000000000,14.42307679010355,0.4423076861776628,1e-09,4.423076861776628e-10,-0.05769231377233723,1e-09,-5.769231377233723e-11,1,1,1,1,1,1,2,1,2,1,-1.442307679010355e-08,1.442307679010355e-08,-10.57692313778107,-1.442307679010355e-08,14.42307679010355,-0.4423076861776628,0.4423076861776628,-10.57692313778107,-0.4423076861776628,4.423076861776628e-10,0.05769231377233723,-0.05769231377233723,-10.57692313778107,0.05769231377233723,-5.769231377233723e-11,-0.3846153868284023,-10.57692313778107,0.3846153868284023,0,-1.442307679010355e-08,0,1.442307679010355e-08,14.42307679010355,-0.4423076861776628,0,0.4423076861776628,4.423076861776628e-10,0.05769231377233723,0,-0.05769231377233723,-5.769231377233723e-11
0.07421236872812136,24.99999992788462,-7.211538395051778e-08,10.57692313822337,-4.423076861776627,10.57692313772337,0.5769231377233712,8.592330341088449e-18,0,0.3846153868284024,55,27.5,10.57692313778106,1.442307679010355e-08,1000000000,14.42307679010355,0.4423076861776627,1e-09,4.423076861776627e-10,-0.05769231377233713,1e-09,-5.769231377233713e-11,1,1,1,1,1,1,2,1,2,1,-1.442307679010355e-08,1.442307679010355e-08,-10.57692313778106,-1.442307679010355e-08,14.42307679010355,-0.4423076861776627,0.4423076861776627,-10.57692313778106,-0.4423076861776627,4.423076861776627e-10,0.05769231377233713,-0.05769231377233713,-10.57692313778106,0.05769231377233713,-5.769231377233713e-11,-0.3846153868284024,-10.57692313778106,0.3846153868284024,0,-1.442307679010355e-08,0,1.442307679010355e-08,14.42307679010355,-0.4423076861776627,0,0.4423076861776627,4.423076861776627e-10,0.05769231377233713,0,-0.05769231377233713,-5.769231377233713e-11
